Entity	Relation	Value	Iteration of Promotion	Probability	Source	Candidate Source
concept:gene:degQ	concept:has	concept:molecular_function:peptidase#SPACE#activity		1.0		
concept:gene:fumC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:response#SPACE#to#SPACE#oxidative#SPACE#stress		1.0		
concept:gene:yadC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cellular#SPACE#response#SPACE#to#SPACE#DNA#SPACE#damage#SPACE#stimulus		1.0		
concept:gene:epmA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:protein-lysine#SPACE#lysylation		1.0		
concept:gene:fur	concept:represses	concept:gene:metJ		1.0		
concept:gene:mntH	concept:has	concept:molecular_function:uniporter#SPACE#activity		1.0		
concept:gene:crp	concept:represses	concept:gene:nuoK		1.0		
concept:gene:rraA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:negative#SPACE#regulation#SPACE#of#SPACE#endoribonuclease#SPACE#activity		1.0		
concept:gene:gyrB	concept:has	concept:molecular_function:DNA#SPACE#supercoiling#SPACE#activity		1.0		
concept:gene:nsrR	concept:represses	concept:gene:ydbD		1.0		
concept:gene:uhpB	concept:has	concept:molecular_function:phosphoprotein#SPACE#phosphatase#SPACE#activity		1.0		
concept:gene:hisC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:fdx	concept:is#SPACE#involved#SPACE#in	concept:biological_process:iron-sulfur#SPACE#cluster#SPACE#assembly		1.0		
concept:gene:aroD	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:ybiJ	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cellular#SPACE#response#SPACE#to#SPACE#DNA#SPACE#damage#SPACE#stimulus		1.0		
concept:gene:nikD	concept:is#SPACE#involved#SPACE#in	concept:biological_process:nickel#SPACE#cation#SPACE#transmembrane#SPACE#transport		1.0		
concept:gene:gcvP	concept:is#SPACE#involved#SPACE#in	concept:biological_process:glycine#SPACE#catabolic#SPACE#process		1.0		
concept:gene:gshA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:glutathione#SPACE#biosynthetic#SPACE#process		1.0		
concept:gene:lrp	concept:activates	concept:gene:tdcA		1.0		
concept:gene:ogrK	concept:is#SPACE#involved#SPACE#in	concept:biological_process:positive#SPACE#regulation#SPACE#of#SPACE#transcription#COMMA##SPACE#DNA-templated		1.0		
concept:gene:gloA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:response#SPACE#to#SPACE#toxic#SPACE#substance		1.0		
concept:gene:lrhA	concept:activates	concept:gene:fimE		1.0		
concept:gene:ariR	concept:has	concept:molecular_function:DNA#SPACE#binding		1.0		
concept:gene:cycA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:yobA	concept:upregulated#SPACE#by#SPACE#antibiotic	concept:antibiotic:Kanamycin		1.0		
concept:gene:potF	concept:is#SPACE#involved#SPACE#in	concept:biological_process:putrescine#SPACE#transport		1.0		
concept:gene:idnK	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:umpG	concept:is#SPACE#involved#SPACE#in	concept:biological_process:UMP#SPACE#catabolic#SPACE#process		1.0		
concept:gene:ftsW	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:dusA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:hns	concept:represses	concept:gene:lacY		1.0		
concept:gene:gntR	concept:represses	concept:gene:idnO		1.0		
concept:gene:marA	concept:activates	concept:gene:putA		1.0		
concept:gene:murR	concept:has	concept:molecular_function:glucokinase#SPACE#activity		1.0		
concept:gene:deoB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cellular#SPACE#response#SPACE#to#SPACE#DNA#SPACE#damage#SPACE#stimulus		1.0		
concept:gene:gdhA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:glutamate#SPACE#biosynthetic#SPACE#process		1.0		
concept:gene:prlF	concept:has	concept:molecular_function:identical#SPACE#protein#SPACE#binding		1.0		
concept:gene:yicC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:zraS	concept:is#SPACE#part#SPACE#of	concept:cellular_component:membrane		1.0		
concept:gene:arcA	concept:activates	concept:gene:dhaL		1.0		
concept:gene:phoA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:periplasmic#SPACE#space		1.0		
concept:gene:yddA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#membrane		1.0		
concept:gene:paaJ	concept:has	concept:molecular_function:transferase#SPACE#activity		1.0		
concept:gene:cra	concept:activates	concept:gene:icd		1.0		
concept:gene:dhaL	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:ypdA	concept:has	concept:molecular_function:phosphorelay#SPACE#sensor#SPACE#kinase#SPACE#activity		1.0		
concept:gene:narL	concept:activates	concept:gene:hcp		1.0		
concept:gene:aqpZ	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:napC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:fnr	concept:activates	concept:gene:aer		1.0		
concept:gene:ghrA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:mlaF	concept:has	concept:molecular_function:phospholipid#SPACE#transporter#SPACE#activity		1.0		
concept:gene:ispU	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:clpP	concept:is#SPACE#involved#SPACE#in	concept:biological_process:response#SPACE#to#SPACE#heat		1.0		
concept:gene:creB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:protein-DNA#SPACE#complex		1.0		
concept:gene:cspD	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:rpsU	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:yqcC	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:yfjI	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:pnp	concept:is#SPACE#part#SPACE#of	concept:cellular_component:membrane		1.0		
concept:gene:tcyP	concept:is#SPACE#involved#SPACE#in	concept:biological_process:L-cystine#SPACE#transport		1.0		
concept:gene:trmH	concept:has	concept:molecular_function:tRNA#SPACE#binding		1.0		
concept:gene:epd	concept:has	concept:molecular_function:glyceraldehyde-3-phosphate#SPACE#dehydrogenase#SPACE#(NAD+)#SPACE#(phosphorylating)#SPACE#activity		1.0		
concept:gene:talA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:gcvH	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytoplasm		1.0		
concept:gene:fabF	concept:has	concept:molecular_function:3-oxoacyl-[acyl-carrier-protein]#SPACE#synthase#SPACE#activity		1.0		
concept:gene:yfdC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:rraB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:negative#SPACE#regulation#SPACE#of#SPACE#endoribonuclease#SPACE#activity		1.0		
concept:gene:rplM	concept:has	concept:molecular_function:structural#SPACE#constituent#SPACE#of#SPACE#ribosome		1.0		
concept:gene:rcdA	concept:activates	concept:gene:csgD		1.0		
concept:gene:yijO	concept:is#SPACE#involved#SPACE#in	concept:biological_process:methylglyoxal#SPACE#catabolic#SPACE#process#SPACE#to#SPACE#D-lactate#SPACE#via#SPACE#S-lactoyl-glutathione		1.0		
concept:gene:miaB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:tRNA#SPACE#methylation		1.0		
concept:gene:mutM	concept:has	concept:molecular_function:oxidized#SPACE#purine#SPACE#nucleobase#SPACE#lesion#SPACE#DNA#SPACE#N-glycosylase#SPACE#activity		1.0		
concept:gene:tolR	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cell#SPACE#division		1.0		
concept:gene:gadE	concept:activates	concept:gene:cyoA		1.0		
concept:gene:fliZ	concept:represses	concept:gene:gadC		1.0		
concept:gene:speE	concept:has	concept:molecular_function:thermospermine#SPACE#synthase#SPACE#activity		1.0		
concept:gene:recO	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:exbD	concept:is#SPACE#involved#SPACE#in	concept:biological_process:protein#SPACE#stabilization		1.0		
concept:gene:wzzB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:polysaccharide#SPACE#biosynthetic#SPACE#process		1.0		
concept:gene:treR	concept:represses	concept:gene:treC		1.0		
concept:gene:ahpC	concept:has	concept:molecular_function:identical#SPACE#protein#SPACE#binding		1.0		
concept:gene:seqA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:negative#SPACE#regulation#SPACE#of#SPACE#DNA-dependent#SPACE#DNA#SPACE#replication#SPACE#initiation		1.0		
concept:gene:fdx	concept:has	concept:molecular_function:2#SPACE#iron#COMMA##SPACE#2#SPACE#sulfur#SPACE#cluster#SPACE#binding		1.0		
concept:gene:fnr	concept:activates	concept:gene:fdnI		1.0		
concept:gene:lrp	concept:activates	concept:gene:yfcZ		1.0		
concept:gene:iscR	concept:represses	concept:gene:napB		1.0		
concept:gene:acpS	concept:is#SPACE#involved#SPACE#in	concept:biological_process:fatty#SPACE#acid#SPACE#biosynthetic#SPACE#process		1.0		
concept:gene:potC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:polyamine#SPACE#transmembrane#SPACE#transport		1.0		
concept:gene:yjcE	concept:has	concept:molecular_function:potassium#SEMICOLON#proton#SPACE#antiporter#SPACE#activity		1.0		
concept:gene:crp	concept:represses	concept:gene:nagC		1.0		
concept:gene:ggt	concept:is#SPACE#involved#SPACE#in	concept:biological_process:glutathione#SPACE#catabolic#SPACE#process		1.0		
concept:gene:rraA	concept:has	concept:molecular_function:ribonuclease#SPACE#inhibitor#SPACE#activity		1.0		
concept:gene:cydB	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:marR	concept:has	concept:molecular_function:DNA#SPACE#binding		1.0		
concept:gene:gatB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:galactitol#SPACE#transport		1.0		
concept:gene:clpX	concept:is#SPACE#involved#SPACE#in	concept:biological_process:proteolysis		1.0		
concept:gene:lexA	concept:represses	concept:gene:recD		1.0		
concept:gene:frvA	concept:has	concept:molecular_function:protein-phosphocysteine-sugar#SPACE#phosphotransferase#SPACE#activity		1.0		
concept:gene:trpR	concept:represses	concept:gene:fhuD		1.0		
concept:gene:cusR	concept:has	concept:molecular_function:DNA#SPACE#binding		1.0		
concept:gene:dcuA	concept:has	concept:molecular_function:succinate#SEMICOLON#fumarate#SPACE#antiporter#SPACE#activity		1.0		
concept:gene:lrp	concept:activates	concept:gene:dadA		1.0		
concept:gene:deoR	concept:has	concept:molecular_function:bacterial-type#SPACE#proximal#SPACE#promoter#SPACE#sequence-specific#SPACE#DNA#SPACE#binding		1.0		
concept:gene:ompF	concept:has	concept:molecular_function:colicin#SPACE#transmembrane#SPACE#transporter#SPACE#activity		1.0		
concept:gene:nuoE	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane#SPACE#respiratory#SPACE#chain#SPACE#complex#SPACE#I		1.0		
concept:gene:yhjA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:response#SPACE#to#SPACE#hydrogen#SPACE#peroxide		1.0		
concept:gene:ydeO	concept:activates	concept:gene:hyaB		1.0		
concept:gene:fnr	concept:represses	concept:gene:dppB		1.0		
concept:gene:ttdB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:response#SPACE#to#SPACE#heat		1.0		
concept:gene:sdaC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:membrane		1.0		
concept:gene:hxpB	concept:has	concept:molecular_function:magnesium#SPACE#ion#SPACE#binding		1.0		
concept:gene:lexA	concept:represses	concept:gene:hokE		1.0		
concept:gene:iscR	concept:represses	concept:gene:napH		1.0		
concept:gene:crp	concept:activates	concept:gene:fecD		1.0		
concept:gene:hns	concept:activates	concept:gene:ybdZ		1.0		
concept:gene:ygiW	concept:is#SPACE#part#SPACE#of	concept:cellular_component:outer#SPACE#membrane-bounded#SPACE#periplasmic#SPACE#space		1.0		
concept:gene:phoU	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cellular#SPACE#response#SPACE#to#SPACE#phosphate#SPACE#starvation		1.0		
concept:gene:ybdR	concept:has	concept:molecular_function:oxidoreductase#SPACE#activity		1.0		
concept:gene:arnT	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:glrR	concept:has	concept:molecular_function:bacterial-type#SPACE#RNA#SPACE#polymerase#SPACE#enhancer#SPACE#sequence-specific#SPACE#DNA#SPACE#binding		1.0		
concept:gene:cysS	concept:has	concept:molecular_function:ligase#SPACE#activity		1.0		
concept:gene:cyoD	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:mqsA	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:mscL	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#membrane		1.0		
concept:gene:mraY	concept:has	concept:molecular_function:phospho-N-acetylmuramoyl-pentapeptide-transferase#SPACE#activity		1.0		
concept:gene:tdcC	concept:has	concept:molecular_function:serine#SPACE#transmembrane#SPACE#transporter#SPACE#activity		1.0		
concept:gene:arcA	concept:represses	concept:gene:sucB		1.0		
concept:gene:purR	concept:activates	concept:gene:carB		1.0		
concept:gene:deoB	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:torS	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:dacA	concept:targeted#SPACE#by	concept:antibiotic:Ampicillin		1.0		
concept:gene:malZ	concept:is#SPACE#involved#SPACE#in	concept:biological_process:carbohydrate#SPACE#metabolic#SPACE#process		1.0		
concept:gene:alaC	concept:has	concept:molecular_function:L-alanine#SEMICOLON#2-oxoglutarate#SPACE#aminotransferase#SPACE#activity		1.0		
concept:gene:hha	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:php	concept:has	concept:molecular_function:zinc#SPACE#ion#SPACE#binding		1.0		
concept:gene:pdxK	concept:has	concept:molecular_function:pyridoxal#SPACE#kinase#SPACE#activity		1.0		
concept:gene:lrp	concept:represses	concept:gene:aceB		1.0		
concept:gene:amiC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:periplasmic#SPACE#space		1.0		
concept:gene:pabC	concept:has	concept:molecular_function:branched-chain-amino-acid#SPACE#transaminase#SPACE#activity		1.0		
concept:gene:nagB	concept:has	concept:molecular_function:glucosamine-6-phosphate#SPACE#deaminase#SPACE#activity		1.0		
concept:gene:csrA	concept:has	concept:molecular_function:mRNA#SPACE#5'-UTR#SPACE#binding		1.0		
concept:gene:crp	concept:activates	concept:gene:ugpC		1.0		
concept:gene:cspG	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:pfkB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytoplasm		1.0		
concept:gene:nagZ	concept:is#SPACE#involved#SPACE#in	concept:biological_process:peptidoglycan#SPACE#turnover		1.0		
concept:gene:arcA	concept:represses	concept:gene:ugpA		1.0		
concept:gene:arcA	concept:activates	concept:gene:fabF		1.0		
concept:gene:cspC	concept:has	concept:molecular_function:chaperone#SPACE#binding		1.0		
concept:gene:rpoS	concept:is#SPACE#involved#SPACE#in	concept:biological_process:transcription#SPACE#initiation#SPACE#from#SPACE#bacterial-type#SPACE#RNA#SPACE#polymerase#SPACE#promoter		1.0		
concept:gene:arcA	concept:represses	concept:gene:yceJ		1.0		
concept:gene:ydeT	concept:is#SPACE#involved#SPACE#in	concept:biological_process:transmembrane#SPACE#transport		1.0		
concept:gene:yjhD	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:alsK	concept:is#SPACE#involved#SPACE#in	concept:biological_process:carbohydrate#SPACE#phosphorylation		1.0		
concept:gene:sthA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cell#SPACE#redox#SPACE#homeostasis		1.0		
concept:gene:grpE	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytoplasm		1.0		
concept:gene:ygbE	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:nsrR	concept:represses	concept:gene:rffC		1.0		
concept:gene:ftsE	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytoplasm		1.0		
concept:gene:fre	concept:is#SPACE#involved#SPACE#in	concept:biological_process:response#SPACE#to#SPACE#oxidative#SPACE#stress		1.0		
concept:gene:aceF	concept:is#SPACE#involved#SPACE#in	concept:biological_process:pyruvate#SPACE#metabolic#SPACE#process		1.0		
concept:gene:arcA	concept:represses	concept:gene:citC		1.0		
concept:gene:nuoG	concept:has	concept:molecular_function:iron-sulfur#SPACE#cluster#SPACE#binding		1.0		
concept:gene:fnr	concept:represses	concept:gene:glnD		1.0		
concept:gene:chbR	concept:has	concept:molecular_function:core#SPACE#promoter#SPACE#binding		1.0		
concept:gene:ybjX	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cellular#SPACE#response#SPACE#to#SPACE#DNA#SPACE#damage#SPACE#stimulus		1.0		
concept:gene:yjcS	concept:has	concept:molecular_function:alkyl#SPACE#sulfatase#SPACE#activity		1.0		
concept:gene:nuoN	concept:is#SPACE#involved#SPACE#in	concept:biological_process:electron#SPACE#transport#SPACE#coupled#SPACE#proton#SPACE#transport		1.0		
concept:gene:fnr	concept:activates	concept:gene:bssR		1.0		
concept:gene:glpR	concept:has	concept:molecular_function:bacterial-type#SPACE#proximal#SPACE#promoter#SPACE#sequence-specific#SPACE#DNA#SPACE#binding		1.0		
concept:gene:fnr	concept:activates	concept:gene:hybA		1.0		
concept:gene:adeP	concept:has	concept:molecular_function:solute#SEMICOLON#proton#SPACE#symporter#SPACE#activity		1.0		
concept:gene:sodB	concept:is#SPACE#involved#SPACE#in	concept:biological_process:superoxide#SPACE#metabolic#SPACE#process		1.0		
concept:gene:argR	concept:represses	concept:gene:gltB		1.0		
concept:gene:yajD	concept:is#SPACE#involved#SPACE#in	concept:biological_process:nucleic#SPACE#acid#SPACE#phosphodiester#SPACE#bond#SPACE#hydrolysis		1.0		
concept:gene:arcA	concept:represses	concept:gene:uxaB		1.0		
concept:gene:cusS	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:lrp	concept:represses	concept:gene:eco		1.0		
concept:gene:acrR	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:lptF	concept:is#SPACE#part#SPACE#of	concept:cellular_component:ATP-binding#SPACE#cassette#SPACE#(ABC)#SPACE#transporter#SPACE#complex		1.0		
concept:gene:ypdC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:methylglyoxal#SPACE#catabolic#SPACE#process#SPACE#to#SPACE#D-lactate#SPACE#via#SPACE#S-lactoyl-glutathione		1.0		
concept:gene:crp	concept:activates	concept:gene:gcvH		1.0		
concept:gene:paaJ	concept:has	concept:molecular_function:acetyl-CoA#SPACE#C-acyltransferase#SPACE#activity		1.0		
concept:gene:trpB	concept:has	concept:molecular_function:tryptophan#SPACE#synthase#SPACE#activity		1.0		
concept:gene:pntB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:wcaB	concept:has	concept:molecular_function:acetyltransferase#SPACE#activity		1.0		
concept:gene:exuT	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:cobT	concept:has	concept:molecular_function:nicotinate-nucleotide-dimethylbenzimidazole#SPACE#phosphoribosyltransferase#SPACE#activity		1.0		
concept:gene:gmhB	concept:has	concept:molecular_function:magnesium#SPACE#ion#SPACE#binding		1.0		
concept:gene:gldA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:torS	concept:is#SPACE#involved#SPACE#in	concept:biological_process:peptidyl-histidine#SPACE#phosphorylation		1.0		
concept:gene:nrfC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:anaerobic#SPACE#electron#SPACE#transport#SPACE#chain		1.0		
concept:gene:paaA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:phenylacetate#SPACE#catabolic#SPACE#process		1.0		
concept:gene:fhlA	concept:activates	concept:gene:focB		1.0		
concept:gene:mlc	concept:represses	concept:gene:manZ		1.0		
concept:gene:arnD	concept:is#SPACE#involved#SPACE#in	concept:biological_process:response#SPACE#to#SPACE#iron(III)#SPACE#ion		1.0		
concept:gene:tsr	concept:has	concept:molecular_function:transmembrane#SPACE#signaling#SPACE#receptor#SPACE#activity		1.0		
concept:gene:pstC	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:rpsA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:membrane		1.0		
concept:gene:parC	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytoplasm		1.0		
concept:gene:glgB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytoplasm		1.0		
concept:gene:arcA	concept:activates	concept:gene:dppC		1.0		
concept:gene:lpxT	concept:is#SPACE#involved#SPACE#in	concept:biological_process:Gram-negative-bacterium-type#SPACE#cell#SPACE#outer#SPACE#membrane#SPACE#assembly		1.0		
concept:gene:lysP	concept:has	concept:molecular_function:protein#SPACE#heterodimerization#SPACE#activity		1.0		
concept:gene:focB	concept:has	concept:molecular_function:formate#SPACE#transmembrane#SPACE#transporter#SPACE#activity		1.0		
concept:gene:acs	concept:is#SPACE#involved#SPACE#in	concept:biological_process:post-translational#SPACE#protein#SPACE#acetylation		1.0		
concept:gene:aspA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:yjjB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:aceK	concept:is#SPACE#involved#SPACE#in	concept:biological_process:tricarboxylic#SPACE#acid#SPACE#cycle		1.0		
concept:gene:yjfF	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:potA	concept:has	concept:molecular_function:spermidine-importing#SPACE#ATPase#SPACE#activity		1.0		
concept:gene:eno	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:dnaK	concept:has	concept:molecular_function:ATPase#SPACE#activity#COMMA##SPACE#coupled		1.0		
concept:gene:mraY	concept:is#SPACE#involved#SPACE#in	concept:biological_process:cell#SPACE#wall#SPACE#organization		1.0		
concept:gene:marA	concept:represses	concept:gene:rob		1.0		
concept:gene:arcA	concept:activates	concept:gene:hybF		1.0		
concept:gene:feaR	concept:activates	concept:gene:feaB		1.0		
concept:gene:hns	concept:represses	concept:gene:caiE		1.0		
concept:gene:sohB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:prc	concept:targeted#SPACE#by	concept:antibiotic:Cefoxitin		1.0		
concept:gene:basS	concept:is#SPACE#involved#SPACE#in	concept:biological_process:peptidyl-histidine#SPACE#phosphorylation		1.0		
concept:gene:ymgC	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:uvrA	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:proX	concept:is#SPACE#involved#SPACE#in	concept:biological_process:glycine#SPACE#betaine#SPACE#transport		1.0		
concept:gene:ytjB	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:ynaE	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:hsrA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:crp	concept:represses	concept:gene:uxaA		1.0		
concept:gene:ulaG	concept:has	concept:molecular_function:hydrolase#SPACE#activity		1.0		
concept:gene:hemB	concept:has	concept:molecular_function:zinc#SPACE#ion#SPACE#binding		1.0		
concept:gene:ftnA	concept:has	concept:molecular_function:identical#SPACE#protein#SPACE#binding		1.0		
concept:gene:yqeI	concept:is#SPACE#part#SPACE#of	concept:cellular_component:integral#SPACE#component#SPACE#of#SPACE#plasma#SPACE#membrane		1.0		
concept:gene:hxpA	concept:has	concept:molecular_function:mannitol-1-phosphatase#SPACE#activity		1.0		
concept:gene:tdcA	concept:activates	concept:gene:tdcG		1.0		
concept:gene:rpsK	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytosol		1.0		
concept:gene:gltI	concept:has	concept:molecular_function:glutamate#SPACE#binding		1.0		
concept:gene:tatD	concept:has	concept:molecular_function:nuclease#SPACE#activity		1.0		
concept:gene:aaeA	concept:is#SPACE#involved#SPACE#in	concept:biological_process:carboxylic#SPACE#acid#SPACE#transport		1.0		
concept:gene:fnr	concept:activates	concept:gene:caiA		1.0		
concept:gene:ubiD	concept:is#SPACE#part#SPACE#of	concept:cellular_component:cytoplasm		1.0		
concept:gene:kefG	concept:has	concept:molecular_function:NAD(P)H#SPACE#dehydrogenase#SPACE#(quinone)#SPACE#activity		1.0		
concept:gene:paaZ	concept:is#SPACE#involved#SPACE#in	concept:biological_process:phenylacetate#SPACE#catabolic#SPACE#process		1.0		
concept:gene:artP	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:groL	concept:is#SPACE#involved#SPACE#in	concept:biological_process:'de#SPACE#novo'#SPACE#protein#SPACE#folding		1.0		
concept:gene:ydcP	concept:has	concept:molecular_function:peptidase#SPACE#activity		1.0		
concept:gene:gltP	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:lolE	concept:is#SPACE#part#SPACE#of	concept:cellular_component:plasma#SPACE#membrane		1.0		
concept:gene:yneL	concept:is#SPACE#involved#SPACE#in	concept:biological_process:methylglyoxal#SPACE#catabolic#SPACE#process#SPACE#to#SPACE#D-lactate#SPACE#via#SPACE#S-lactoyl-glutathione		1.0		
concept:gene:lrp	concept:activates	concept:gene:gcvT		1.0		
concept:gene:hlyE	concept:has	concept:molecular_function:identical#SPACE#protein#SPACE#binding		1.0		
concept:gene:ftsA	concept:is#SPACE#part#SPACE#of	concept:cellular_component:membrane		1.0		
concept:gene:adiY	concept:is#SPACE#involved#SPACE#in	concept:biological_process:methylglyoxal#SPACE#catabolic#SPACE#process#SPACE#to#SPACE#D-lactate#SPACE#via#SPACE#S-lactoyl-glutathione		1.0		
concept:gene:priC	concept:has	concept:molecular_function:protein#SPACE#binding		1.0		
concept:gene:dxs	concept:has	concept:molecular_function:transferase#SPACE#activity#COMMA##SPACE#transferring#SPACE#aldehyde#SPACE#or#SPACE#ketonic#SPACE#groups		1.0		
concept:gene:ddlB	concept:has	concept:molecular_function:response#SPACE#to#SPACE#antibiotic		1.0		
concept:gene:qseC	concept:is#SPACE#involved#SPACE#in	concept:biological_process:peptidyl-histidine#SPACE#phosphorylation		1.0		
